reach_name,reach_length_m,drainage_ha,currentflow_cfs,lowflow_2040_cfs,lowflow_2080_cfs,system_id
Bachelor Canyon,1370.08,778.4,1.63,1.49,1.41,NONAG
Bassey Cr,8754.77,1559.67,2.54,2.29,2.14,NONAG
Bear (UM),4651.86,1159.99,2.1,1.91,1.76,NONAG
Bear Cr (McKay),1473.4,537.7,0.98,0.9,0.86,NONAG
Bear Cr1 (Birch),5253.53,10949.6,18.75,17.08,16.23,NONAG
Bear Cr1 (Meacham),1816.61,3255.4,6.5,5.95,5.52,NONAG
Bear Cr2 (Birch),17442.18,3343.84,6.2,5.63,5.39,NONAG
Bear Cr2 (Meacham),4066.95,1735.04,3.25,2.97,2.75,NONAG
Beaver Cr1,1889.15,2033.9,4.27,3.91,3.67,NONAG
Beaver Cr3,238.66,1211.95,1.79,1.64,1.54,NONAG
Beaver Cr4,5645.2,842.45,1.77,1.62,1.52,NONAG
Bell Cow Cr,6710.78,2508.33,4.79,4.38,4.11,NONAG
Birch Cr1,4516.53,73534.59,1,1,1,IRRIGATED
Birch Cr10,605.33,61878.1,102.76,94.44,89.43,IRRIGATED
Birch Cr3,3202.84,72213,1,1,1,IRRIGATED
Birch Cr5,8335.37,67271.67,1,1,1,IRRIGATED
Birch Cr7,3657.6,61878.1,75,75,75,IRRIGATED
Birch Cr8,4781.09,61878.1,75,75,75,IRRIGATED
Birch EF Cr1,185.32,23811.9,41.26,37.89,35.74,URBAN
Birch EF Cr10,4381.5,789.6,6.27,5.77,5.38,NONAG
Birch EF Cr3,1457.25,22536.85,38.23,35.06,33.04,URBAN
Birch EF Cr4,4078.22,20140.22,33.6,30.79,28.95,IRRIGATED
Birch EF Cr5,4081.58,18337.77,31.8,29,27.36,IRRIGATED
Birch EF Cr6,4504.03,15206.11,27.4,25.01,23.58,NONAG
Birch EF Cr7,2367.99,13220.97,24.15,22.14,20.84,NONAG
Birch EF Cr8,4558.89,5966.3,10.71,9.81,9.2,NONAG
Birch EF Cr9,2122.93,3441.3,6.27,5.77,5.38,NONAG
Birch WF Cr1,3201.31,31320.29,40.15,36.74,34.89,IRRIGATED
Birch WF Cr10,1278.33,7276.53,16.77,15.29,14.55,NONAG
Birch WF Cr12,2788.92,6688.7,12.64,11.52,11.02,NONAG
Birch WF Cr13,2798.37,4504.85,8.48,7.69,7.36,NONAG
Birch WF Cr14,1981.2,4351.9,8.48,7.69,7.36,NONAG
Birch WF Cr15,4878.02,2995.74,4.88,4.46,4.29,NONAG
Birch WF Cr16,936.65,1639.6,4.88,,4.29,NONAG
Birch WF Cr17,3462.83,946.44,1.16,1.05,1.02,NONAG
Birch WF Cr2,1471.88,23423.96,40.15,36.74,34.89,IRRIGATED
Birch WF Cr4,469.09,22977.93,40.14,36.73,34.89,IRRIGATED
Birch WF Cr6,2732.23,22977.1,40.14,36.73,34.89,IRRIGATED
Birch WF Cr7,662.64,11542.1,20.86,19.03,18.07,NONAG
Birch WF Cr9,2974.24,11227.22,20.86,19.03,18.07,NONAG
Bobsled Cr,2840.13,1073,2.22,2.04,1.9,NONAG
Boston Canyon,6537.96,787.62,2.03,1.85,1.74,NONAG
Bridge Cr1,2169.87,3379.22,5.77,5.26,4.99,NONAG
Bridge Cr3,11669.57,1890.72,3.34,3.02,2.87,NONAG
Buck Cr1,4398.87,2554.64,5.4,4.94,4.55,NONAG
Buck Cr2,669.04,1468.17,3.32,3.02,2.76,NONAG
Buck Cr3,6004.56,917.3,2.13,1.93,1.75,NONAG
Buckaroo Cr1,419.1,3869.6,7.69,7.08,6.73,NONAG
Buckaroo Cr3,7719.36,2537.23,5.33,4.92,4.65,NONAG
Buckhorn Cr,4486.66,1191.62,2.24,2.01,1.91,NONAG
