reach_name,river_name,lat,long,elevation_m,temp_rank
Buck Cr3,Buck Creek,45.70821717,-118.1373596,1215.30835,1.5
Buckaroo Cr3,Buckaroo Creek,45.65040837,-118.4946728,585.5771484,3.5125
Butter Cr7,Butter Creek,45.58120227,-119.4190693,403.8002319,3.742857143
Camp Cr3,Camp Creek,45.58519683,-118.3135064,809.9624634,2.37
Coonskin Cr3,Coonskin Creek,45.67484497,-118.5447979,504.9989319,2.3
Eagle Cr,Eagle Creek,45.76248592,-118.4454811,662.5065918,3
Greasewood Cr1,Greasewood Creek,45.73922578,-118.6143208,425.5647278,3.5
McKay Cr1,McCay Creek,45.6680077,-118.8382423,329.2694702,2.094736842
McKay Cr3,McCay Creek,45.60792826,-118.7953377,364.2788391,2.4
McKay Cr5,McCay Creek,45.60792826,-118.7953377,389.8175354,2.4
McKay NF Cr1,McCay Creek (North Fork),45.50695218,-118.6167938,582.7154541,3.45
Meacham Cr12,Meacham Creek,45.50296589,-118.4221371,1119.452515,3.3
Meacham Cr3,Meacham Creek,45.64308806,-118.359189,636.8636475,2.428571429
Meacham Cr4,Meacham Creek,45.56971219,-118.318119,691.8829346,2.2
Mission Cr5,Mission Creek,45.66021,-118.64171,467.034729,1.5
Mission Cr7,Mission Creek,45.62949495,-118.6200285,547.7355957,1.542857143
Moonshine Cr3,Moonshine Creek,45.65988735,-118.5663414,626.2424927,3.45
Ryan Cr,Ryan Creek,45.71088429,-118.3121967,803.7912598,1.5
Spring Hollow Cr2 (WH),Spring Hollow Creek,45.75294572,-118.5146981,538.1581421,2.8
Spring Hollow Cr4 (WH),Spring Hollow Creek,45.74638378,-118.4872913,581.4279175,3.2
Squaw Cr1,Umatilla River,45.69997527,-118.4003448,515.6956787,3.5
Squaw Cr3,Isqauulktpe Creek,45.67212366,-118.4013748,555.8123779,2.633333333
Stage Gulch1,Stanfield Drain,45.78323742,-119.2353916,178.0883179,3.5
Thomas Cr1,Thomas Creek,45.68008417,-118.1973718,837.2875977,1.54
UM NF1,Umatilla River (North Fork),45.73243512,-118.1409227,755.7910767,1.333333333
UM NF2,Umatilla River (North Fork),45.72920497,-118.1125311,886.4680176,1.4
UM15,Umatilla River,45.79554398,-119.3277669,164.6617584,3.96875
UM16,Umatilla River,45.78366389,-119.2371726,169.3329315,3.471428571
UM17,Umatilla River,45.77853851,-119.2255372,180.0052032,3.4
UM21,Umatilla River,45.72815004,-119.1936135,198.1235199,3.51875
UM23,Umatilla River,45.72140168,-119.1789365,209.5341187,3.5
UM25,Umatilla River,45.69099771,-119.1193378,219.509491,3.515
UM26,Umatilla River,45.67706391,-119.0367365,229.3227081,3.484615385
UM27,Umatilla River,45.67691352,-119.0055114,245.6639404,3.5
UM28,Umatilla River,45.66329159,-118.9708614,269.938385,3.239130435
UM29,Umatilla River,45.65836887,-118.8747633,291.451355,2.616666667
UM32,Umatilla River,45.67119213,-118.8375932,306.0010681,3.944444444
UM33,Umatilla River,45.67588698,-118.7826347,321.4169922,3.833333333
UM34,Umatilla River,45.67360053,-118.7530553,348.7565308,3.625
UM37,Umatilla River,45.6719545,-118.6204211,403.5499573,3.566666667
UM38,Umatilla River,45.67849567,-118.5780895,418.2443848,3.5
UM39,Umatilla River,45.67593641,-118.5521894,430.9404602,3.483333333
UM40,Umatilla River,45.68382512,-118.5384893,455.2602539,3.4875
UM41,Thornhollow,45.68459714,-118.4553623,495.2197876,3.457142857
UM43,Imeques Acclimation Facility,45.7067487,-118.3502197,544.9147339,3.442857143
UM45,Umatilla River,45.72342403,-118.3189237,571.8146362,3.35
UM46,Umatilla River,45.72279942,-118.3146203,585.8170166,3.223076923
UM47,Umatilla River,45.72232298,-118.2978201,603.0431519,2.9
UM50,Umatilla River,45.74220969,-118.2410438,651.4458008,1.727272727
UM53,Umatilla River,45.72873421,-118.1970334,703.4319458,1.5
UM6,Hermistron North Drain,45.8614743,-119.3140662,125.2694855,3.833333333
UM7,Umatilla River,45.83983259,-119.3355775,130.7790985,3.625
Wildhorse Cr1,Wildhorse Creek,45.67854065,-118.7652969,333.7985229,3.75
Wildhorse Cr13,Wildhorse Creek,45.74721108,-118.3841604,765.479126,3.2
Wildhorse Cr3,Wildhorse Creek,45.68564646,-118.7471652,359.4224243,3.833333333
Wildhorse Cr6,Wildhorse Creek,45.73853689,-118.6130762,445.3358459,3.5
Wildhorse Cr8,Wildhorse Creek,45.80879014,-118.5000157,497.2033997,3.433333333
